Reference,Value
"R1, R2, R3, R4, R5, R6",0.11
"C1, C2, C3, C5, C6, C4, C9, C8, C7",.1uf
"C13, C14",.1uF
"C12, C11, C10",.22uF
"R37, R38, R39",10k
R42,1k
"R34, R35, R36",2.49k
"R10, R7, R8, R9, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33",20k
R40,240
C15,47uF
"R41, R43, R44, R45, R46, R47, R48",715
"U2, U3, U1",A4988_stepper_driver
J10,Control_1
J13,Control_2
J16,Control_3
"J3, J2, J1",DB9_connector
D1,DIODE
U4,LM317MSTT3G_Voltage_Regulator
J4,PWR IN
D2,PWR LED
J11,Sensor_1
J14,Sensor_2
J17,Sensor_3
J5,Settings_1
J12,Settings_2
J15,Settings_3
"TP1, TP2, TP3",Test_point
